product_id,product_origin_id,reviewEval,reviewEvalValues,reviewTopic
1002668071,"[뷰앤뷰] 리페어 크림(100ml/수분부족형지성용,민감성피부용)",트러블,"조금 있었어요,2-잘 모르겠어요,6-전혀 없었어요,31",사용감-보습력-성분-향기-트러블 개선-만족도-가격-분사력
1002668071,"[뷰앤뷰] 리페어 크림(100ml/수분부족형지성용,민감성피부용)",제형,"되직해요,0-적당해요,32-묽어요,7",사용감-보습력-성분-향기-트러블 개선-만족도-가격-분사력
1002669246,★1+1★[뷰앤뷰] 퓨어 내추럴 수분크림(80ml/건성피부용),수분감,"건조해요,0-보통이에요,1-촉촉해요,25",사용감-보습력-성분-트러블 개선-만족도-가격-효과
1002669246,★1+1★[뷰앤뷰] 퓨어 내추럴 수분크림(80ml/건성피부용),트러블,"조금 있었어요,1-잘 모르겠어요,6-전혀 없었어요,19",사용감-보습력-성분-트러블 개선-만족도-가격-효과
1002669246,★1+1★[뷰앤뷰] 퓨어 내추럴 수분크림(80ml/건성피부용),제형,"되직해요,2-적당해요,20-묽어요,4",사용감-보습력-성분-트러블 개선-만족도-가격-효과
1002683780,★2+1 이벤트★[뷰앤뷰] 리페어 인텐시브 갈색병 에센스,수분감,"건조해요,1-보통이에요,14-촉촉해요,21",사용감-성분-트러블 개선-효과-색상-용량-품질-보습력-가격
1002683780,★2+1 이벤트★[뷰앤뷰] 리페어 인텐시브 갈색병 에센스,트러블,"조금 있었어요,0-잘 모르겠어요,16-전혀 없었어요,20",사용감-성분-트러블 개선-효과-색상-용량-품질-보습력-가격
1002683780,★2+1 이벤트★[뷰앤뷰] 리페어 인텐시브 갈색병 에센스,제형,"되직해요,2-적당해요,23-묽어요,11",사용감-성분-트러블 개선-효과-색상-용량-품질-보습력-가격
1003102049,"★1+1★[뷰앤뷰] 리페어 크림(100ml/수분부족형지성,민감성피부용)",수분감,"건조해요,0-보통이에요,11-촉촉해요,49",지속력-용량-사용감-보습력-성분-향기-만족도-가격-효과
1003102049,"★1+1★[뷰앤뷰] 리페어 크림(100ml/수분부족형지성,민감성피부용)",트러블,"조금 있었어요,0-잘 모르겠어요,16-전혀 없었어요,44",지속력-용량-사용감-보습력-성분-향기-만족도-가격-효과
1003102049,"★1+1★[뷰앤뷰] 리페어 크림(100ml/수분부족형지성,민감성피부용)",제형,"되직해요,1-적당해요,45-묽어요,14",지속력-용량-사용감-보습력-성분-향기-만족도-가격-효과
1002796880,★1+1★[뷰앤뷰] 수퍼 아쿠아 수분크림(100ml/지성용),수분감,"건조해요,0-보통이에요,3-촉촉해요,7",향기-만족도-가격-사용감
1002796880,★1+1★[뷰앤뷰] 수퍼 아쿠아 수분크림(100ml/지성용),트러블,"조금 있었어요,0-잘 모르겠어요,2-전혀 없었어요,8",향기-만족도-가격-사용감
1002796880,★1+1★[뷰앤뷰] 수퍼 아쿠아 수분크림(100ml/지성용),제형,"되직해요,0-적당해요,9-묽어요,1",향기-만족도-가격-사용감
2639969152,뷰티끄랩 발각질제거기 풋파일 BTQ-F1000,제형,"되직해요,12-적당해요,104-묽어요,16",만족도-효과
2639969152,뷰티끄랩 발각질제거기 풋파일 BTQ-F1000,수분감,"건조해요,19-보통이에요,81-촉촉해요,32",만족도-효과
